,id,budget,genres,original_language,original_title,overview,popularity,poster,release_year,release_date,release_date_str,revenue,runtime,tagline,title,vote_average,vote_count
47,47,40218400,"['Comedy', 'Drama', 'War']","['English', 'German']",Jojo Rabbit,A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.,80.0,https://m.media-amazon.com/images/M/MV5BZjU0Yzk2MzEtMjAzYy00MzY0LTg2YmItM2RkNzdkY2ZhN2JkXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_SX300.jpg,2019,1573151400,08 Nov 2019,"$33,370,906",108 min,"A young German boy in the Hitler Youth, whose hero and imaginary friend is the country's dictator, is shocked to discover that his mother is hiding a Jewish girl in their home.",Jojo Rabbit,7.9,"450,825"
48,48,40218400,"['Drama', 'War']","['English', 'French', 'German']",1917,Two young British soldiers during World War I are given an impossible mission: deliver a message deep in enemy territory.,88.0,https://m.media-amazon.com/images/M/MV5BYzkxZjg2NDQtMGVjMy00NWZkLTk0ZDEtZWE3NDYwYjAyMTg1XkEyXkFqcGc@._V1_SX300.jpg,2019,1578594600,10 Jan 2020,"$159,227,644",119 min,"April 6th, 1917. As an infantry battalion assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",1917,8.2,"694,603"
49,49,40218400,"['Crime', 'Drama', 'Thriller']","['English', 'German']",Joker,"In Gotham City's fractured society, mentally troubled comedian Arthur Fleck embarks on a downward spiral, transforming into the infamous criminal known as the Joker.",69.0,https://m.media-amazon.com/images/M/MV5BNGVjNWI4ZGUtNzE0MS00YTJmLWE0ZDctN2ZiYTk2YmI3NTYyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,2019,1570127400,04 Oct 2019,"$335,477,657",122 min,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of crime and chaos in Gotham ...",Joker,8.4,"1,524,954"
50,51,40218400,"['Action', 'Adventure', 'Sci-Fi']","['English', 'Swahili', 'Nama', 'Xhosa', 'Korean']",Black Panther,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people and face a powerful enemy.",96.0,https://m.media-amazon.com/images/M/MV5BMTg1MTY2MjYzNV5BMl5BanBnXkFtZTgwMTc4NTMwNDI@._V1_SX300.jpg,2018,1518719400,16 Feb 2018,"$700,426,566",134 min,"T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",Black Panther,7.3,"850,236"
51,52,40218400,"['Animation', 'Action', 'Adventure']","['English', 'Spanish']",Spider-Man: Into the Spider-Verse,Teen Miles Morales becomes the Spider-Man of his reality and crosses paths with five counterparts from other dimensions.,97.0,https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_SX300.jpg,2018,1544725800,14 Dec 2018,"$190,241,310",117 min,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.,Spider-Man: Into the Spider-Verse,8.4,"691,317"
52,53,40218400,"['Biography', 'Crime', 'Drama']","['English', 'Italian', 'Latin', 'Spanish', 'German']",The Irishman,A mob hitman recalls his involvement with the rise of the American mafia and the disappearance of Jimmy Hoffa.,95.0,https://m.media-amazon.com/images/M/MV5BMGUyM2ZiZmUtMWY0OC00NTQ4LThkOGUtNjY2NjkzMDJiMWMwXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_SX300.jpg,2019,1574793000,27 Nov 2019,$ 0,209 min,"An illustration of Frank Sheeran's life, from W.W.II veteran to hit-man for the Bufalino crime family and his alleged assassination of his close friend Jimmy Hoffa.",The Irishman,7.8,"437,389"
53,54,40218400,"['Drama', 'Music', 'Romance']","['English', 'French']",A Star Is Born,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,90.0,https://m.media-amazon.com/images/M/MV5BNGUxZTc0NTAtNzQwMy00MmM2LTgzMGYtZWIyY2E1MGFjYmM5XkEyXkFqcGc@._V1_SX300.jpg,2018,1538677800,05 Oct 2018,"$215,333,122",136 min,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,A Star Is Born,7.6,"425,955"
54,55,40218400,"['Comedy', 'Crime', 'Drama']","['English', 'Spanish', 'Hindi']",Knives Out,A detective investigates the death of a wealthy patriarch and unravels a web of secrets within the family.,97.0,https://m.media-amazon.com/images/M/MV5BMGUwZjliMTAtNzAxZi00MWNiLWE2NzgtZGUxMGQxZjhhNDRiXkEyXkFqcGdeQXVyNjU1NzU3MzE@._V1_SX300.jpg,2019,1574793000,27 Nov 2019,"$165,363,234",130 min,"A detective investigates the death of the patriarch of an eccentric, combative family.",Knives Out,7.9,"786,503"
55,56,40218400,"['Drama', 'Romance']","['English', 'Spanish']",Marriage Story,An incisive and compassionate look at a marriage breaking up and a family staying together.,95.0,https://m.media-amazon.com/images/M/MV5BZGVmY2RjNDgtMTc3Yy00YmY0LTgwODItYzBjNWJhNTRlYjdkXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,2019,1575570600,06 Dec 2019,$ 0,137 min,A stage director and his actor wife struggle through a grueling divorce that pushes them to their personal and creative extremes. Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying toget...,Marriage Story,7.9,"351,017"
56,57,40218400,"['Action', 'Biography', 'Drama']","['English', 'Italian', 'French', 'Japanese']",Ford v Ferrari,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford.,92.0,https://m.media-amazon.com/images/M/MV5BYzcyZDNlNDktOWRhYy00ODQ5LTg1ODQtZmFmZTIyMjg2Yjk5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,2019,1573756200,15 Nov 2019,"$117,624,357",152 min,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,Ford v Ferrari,8.1,"495,380"
57,58,40218400,"['Action', 'Adventure', 'Drama']",['English'],Dune,The son of a noble family is entrusted with the protection of the most valuable asset and the most vital element in the galaxy.,37.0,https://m.media-amazon.com/images/M/MV5BYTAzYzNlMDMtMGRjYS00M2UxLTk0MmEtYmE4YWZiYmEwOTIwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,2021,471810600,14 Dec 1984,"$30,925,690",137 min,A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.,Dune,6.3,"182,774"
58,59,40218400,"['Action', 'Sci-Fi', 'Thriller']","['English', 'Russian', 'Ukrainian', 'Estonian', 'Norwegian', 'Hindi']",Tenet,"Armed with only one word, Tenet, a protagonist embarks on a time-bending mission to prevent the collapse of the world.",69.0,https://m.media-amazon.com/images/M/MV5BMzU3YWYwNTQtZTdiMC00NjY5LTlmMTMtZDFlYTEyODBjMTk5XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,2020,1599071400,03 Sep 2020,"$58,504,105",150 min,"Armed with only the word ""Tenet,"" and fighting for the survival of the entire world, CIA operative, The Protagonist, journeys through a twilight world of international espionage on a global mission that unfolds beyond real time.",Tenet,7.3,"606,101"
59,60,40218400,"['Animation', 'Adventure', 'Comedy']","['English', 'Korean', 'Inuktitut']",Soul,A jazz musician gets stuck in the afterlife and embarks on a journey to return to his body and fulfill his life goals.,95.0,https://m.media-amazon.com/images/M/MV5BZGE1MDg5M2MtNTkyZS00MTY5LTg1YzUtZTlhZmM1Y2EwNmFmXkEyXkFqcGdeQXVyNjA3OTI0MDc@._V1_SX300.jpg,2020,1606588200,29 Nov 2020,"$946,154",100 min,"Joe is a middle-school band teacher whose life hasn't quite gone the way he expected. His true passion is jazz. But when he travels to another realm to help someone find their passion, he soon discovers what it means to have soul.",Soul,8.0,"390,321"
60,61,40218400,['Drama'],['English'],Nomadland,"A woman in her sixties embarks on a journey through the American West, living as a van-dwelling modern-day nomad.",93.0,https://m.media-amazon.com/images/M/MV5BMDRiZWUxNmItNDU5Yy00ODNmLTk0M2ItZjQzZTA5OTJkZjkyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,2020,1613673000,19 Feb 2021,"$3,700,000",107 min,"A woman in her sixties, after losing everything in the Great Recession, embarks on a journey through the American West, living as a van-dwelling modern-day nomad.",Nomadland,7.3,"186,989"
61,62,40218400,['Drama'],"['Korean', 'English']",Minari,"A Korean family starts a farm in 1980s Arkansas, where they experience challenges in pursuit of their own American dream.",98.0,https://m.media-amazon.com/images/M/MV5BNWEzOTNjNDgtZDhhYS00ODAxLWIzNGMtYjU3OGZhYmI3ZDU4XkEyXkFqcGdeQXVyMTAzNjk5MDI4._V1_SX300.jpg,2020,1613068200,12 Feb 2021,"$3,110,580",115 min,"A Korean American family moves to an Arkansas farm in search of its own American dream. Amidst the challenges of new life in the strange and rugged Ozarks, they discover the undeniable resilience of family and what really makes a ...",Minari,7.4,"99,238"
62,63,40218400,"['Crime', 'Drama', 'Thriller']",['English'],Promising Young Woman,"A young woman, traumatized by a tragic event in her past, seeks out vengeance against those who wronged her.",90.0,https://m.media-amazon.com/images/M/MV5BOTgzMzE4MGItZDgxYS00ZGEwLWE3YTctZWY3ZDAyMTk0ZGU4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,2020,1608834600,25 Dec 2020,"$6,460,965",113 min,"Nothing in Cassie's life is what it appears to be - she's wickedly smart, tantalizingly cunning, and she's living a secret double life. Now, an unexpected encounter is about to give Cassie a chance to right the wrongs from the past.",Promising Young Woman,7.5,"215,866"
63,64,40218400,['Drama'],['English'],The Father,"A man refuses all assistance from his daughter as he ages, and begins to doubt his own perception of reality.",98.0,https://m.media-amazon.com/images/M/MV5BZGJhNWRiOWQtMjI4OS00ZjcxLTgwMTAtMzQ2ODkxY2JkOTVlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,2020,1614277800,26 Feb 2021,"$2,122,771",97 min,"A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",The Father,8.2,"198,862"
64,65,40218400,"['Drama', 'History', 'Thriller']","['English', 'Latin', 'French']",The Trial of the Chicago 7,The story of seven individuals on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago.,89.0,https://m.media-amazon.com/images/M/MV5BYjYzOGE1MjUtODgyMy00ZDAxLTljYTgtNzk0Njg2YWQwMTZhXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,2020,1602786600,16 Oct 2020,$ 0,129 min,"The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.",The Trial of the Chicago 7,7.7,"195,695"
65,66,40218400,"['Drama', 'Music']","['English', 'American Sign ', 'French', 'Persian']",Sound of Metal,A heavy-metal drummer's life is turned upside down when he begins to lose his hearing.,97.0,https://m.media-amazon.com/images/M/MV5BNjcyYjg0M2ItMzMyZS00NmM1LTlhZDMtN2MxN2RhNWY4YTkwXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,2019,1607020200,04 Dec 2020,$ 0,120 min,"During a series of adrenaline-fueled gigs, itinerant punk-metal drummer Ruben begins to experience hearing loss. When a specialist tells him his condition will rapidly worsen, he thinks his music career - and with it his life - is...",Sound of Metal,7.7,"153,332"
66,67,40218400,"['Adventure', 'Drama', 'Fantasy']","['English', 'Latin']",The Green Knight,"King Arthur's headstrong nephew embarks on a daring quest to confront the Green Knight, a mysterious giant.",89.0,https://m.media-amazon.com/images/M/MV5BMjMxNTdiNWMtOWY0My00MjM4LTkwNzMtOGI0YThhN2Q4M2I4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,2021,1627583400,30 Jul 2021,"$17,173,321",130 min,A fantasy retelling of the medieval story of Sir Gawain and the Green Knight.,The Green Knight,6.6,"121,190"
67,68,40218400,"['Comedy', 'Drama', 'Sci-Fi']",['English'],Don't Look Up,Two low-level astronomers must go on a giant media tour to warn mankind of an approaching comet that will destroy Earth.,0.0,https://m.media-amazon.com/images/M/MV5BMjhhNWFjNzctYTJjOS00MDc0LThiNjItZmM0ZDVmMWViY2UzXkEyXkFqcGc@._V1_SX300.jpg,2021,1640284200,24 Dec 2021,$ 0,138 min,Two low-level astronomers must go on a giant media tour to warn humankind of an approaching comet that will destroy planet Earth.,Don't Look Up,7.2,"615,992"
68,69,40218400,"['Comedy', 'Drama', 'Romance']","['English', 'French']",The French Dispatch,A love letter to journalists set in an outpost of an American newspaper in a fictional 20th-century French city.,75.0,https://m.media-amazon.com/images/M/MV5BNmQxZTNiODYtNzBhYy00MzVlLWJlN2UtNTc4YWZjMDIwMmEzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,2021,1634841000,22 Oct 2021,"$16,124,375",107 min,"A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine"".",The French Dispatch,7.1,"153,635"
69,70,40218400,"['Action', 'Adventure', 'Thriller']","['English', 'French', 'Italian', 'Russian', 'Spanish', 'Norwegian', 'German']",No Time to Die,James Bond has left active service. His peace is short-lived when an old friend from the CIA turns up asking for help.,83.0,https://m.media-amazon.com/images/M/MV5BYWQ2NzQ1NjktMzNkNS00MGY1LTgwMmMtYTllYTI5YzNmMmE0XkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,2021,1633631400,08 Oct 2021,"$160,891,007",163 min,"James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",No Time to Die,7.3,"451,455"
70,71,40218400,"['Action', 'Adventure', 'Fantasy']","['English', 'American Sign ', 'Marathi', 'Assyrian Neo-Aramaic', 'Spanish', 'Sumerian', 'Latin', 'Sanskrit', 'Greek', 'Ancient (to 1453)', 'Arabic']",Eternals,"A group of ancient heroes must come together to protect humanity from their oldest enemy, the Deviants.",47.0,https://m.media-amazon.com/images/M/MV5BMTExZmVjY2ItYTAzYi00MDdlLWFlOWItNTJhMDRjMzQ5ZGY0XkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_SX300.jpg,2021,1636050600,05 Nov 2021,"$164,870,234",156 min,"The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.",Eternals,6.3,"392,751"
71,72,40218400,"['Action', 'Adventure', 'Fantasy']","['English', 'Mandarin']",Shang-Chi and the Legend of the Ten Rings,"Shang-Chi, the master of unarmed weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.",91.0,https://m.media-amazon.com/images/M/MV5BNTliYjlkNDQtMjFlNS00NjgzLWFmMWEtYmM2Mzc2Zjg3ZjEyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,2021,1630607400,03 Sep 2021,"$224,543,292",132 min,"Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.",Shang-Chi and the Legend of the Ten Rings,7.4,"445,535"
72,73,40218400,"['Animation', 'Adventure', 'Comedy']","['English', 'Italian']",Luca,"On the Italian Riviera, an unlikely but strong friendship grows between a human and a sea monster disguised as a human.",91.0,https://m.media-amazon.com/images/M/MV5BZTQyNTU0MDktYTFkYi00ZjNhLWE2ODctMzBkM2U1ZTk3YTMzXkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_SX300.jpg,2021,1623954600,18 Jun 2021,"$1,324,302",95 min,"On the Italian Riviera, an unlikely but strong friendship grows between a human being and a sea monster disguised as a human.",Luca,7.4,"199,816"
73,74,40218400,"['Animation', 'Comedy', 'Drama']","['English', 'Spanish']",Encanto,A Colombian teenage girl has to face the frustration of being the only member of her family without magical powers.,0.0,https://m.media-amazon.com/images/M/MV5BNjE5NzA4ZDctOTJkZi00NzM0LTkwOTYtMDI4MmNkMzIxODhkXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,2021,1637692200,24 Nov 2021,"$96,093,622",102 min,A Colombian teenage girl has to face the frustration of being the only member of her family without magical powers.,Encanto,7.2,"268,559"
74,75,40218400,"['Action', 'Adventure', 'Comedy']","['English', 'Spanish', 'Japanese', 'Cantonese']",The Suicide Squad,"Supervillains Harley Quinn, Bloodsport, Peacemaker, and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X.",0.0,https://m.media-amazon.com/images/M/MV5BNzUzMjkxMzItMTc0MS00MjAxLWFiZGMtY2YwOGM2Yjk1ZjBmXkEyXkFqcGdeQXVyODIyOTEyMzY@._V1_SX300.jpg,2021,1628101800,05 Aug 2021,"$55,817,425",132 min,"Supervillains Harley Quinn, Bloodsport, Peacemaker, and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",The Suicide Squad,7.2,"419,124"
75,76,40218400,"['Biography', 'Drama', 'Sport']","['English', 'Spanish']",King Richard,"A look at how tennis superstars Venus and Serena Williams became who they are after the coaching from their father, Richard Williams.",90.0,https://m.media-amazon.com/images/M/MV5BYTcyNmY4ZGEtYmE4Zi00ZDViLTlmYzMtMmQ4ZTM4OWNmZjQxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,2021,1637260200,19 Nov 2021,"$15,129,285",144 min,A look at how tennis superstars Venus and Serena Williams became who they are after the coaching from their father Richard.,King Richard,7.5,"141,156"
76,77,40218400,"['Biography', 'Drama']",['English'],Spencer,"During her Christmas holidays with the royal family at the Sandringham estate in Norfolk, England, Princess Diana decides to leave her marriage to Prince Charles.",83.0,https://m.media-amazon.com/images/M/MV5BMTdkZDc4YmQtYzA3My00NzliLThjN2YtMDIwMDkxY2Y4ODdmXkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_SX300.jpg,2021,1636050600,05 Nov 2021,"$7,086,632",117 min,"Diana Spencer, struggling with mental-health problems during her Christmas holidays with the Royal Family at their Sandringham estate in Norfolk, England, decides to end her decade-long marriage to Prince Charles.",Spencer,6.6,"77,532"
77,78,40218400,"['Drama', 'Western']",['English'],The Power of the Dog,"Charismatic rancher Phil Burbank inspires fear and awe in those around him. When his brother brings home a new wife and her son, Phil torments them until he finds himself exposed to the possibility of love.",94.0,https://m.media-amazon.com/images/M/MV5BZGRhYjE2NWUtN2FkNy00NGI3LTkxYWMtMDk4Yjg5ZjI3MWI2XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,2021,1638297000,01 Dec 2021,$ 0,126 min,"Charismatic rancher Phil Burbank inspires fear and awe in those around him. When his brother brings home a new wife and her son, Phil torments them until he finds himself exposed to the possibility of love.",The Power of the Dog,6.8,"195,930"
78,79,40218400,"['Crime', 'Drama', 'Musical']","['English', 'Spanish']",West Side Story,"An adaptation of the 1957 musical, West Side Story explores forbidden love and the rivalry between the Jets and the Sharks, two teenage street gangs of different ethnic backgrounds.",92.0,https://m.media-amazon.com/images/M/MV5BMTM0NDAxOTI5MF5BMl5BanBnXkFtZTcwNjI4Mjg3NA@@._V1_SX300.jpg,2021,-253258200,23 Dec 1961,"$44,055,492",153 min,"Two youngsters from rival New York City gangs fall in love, but tensions between their respective friends build toward tragedy.",West Side Story,7.6,"122,220"
79,80,40218400,"['Crime', 'Drama', 'Thriller']","['English', 'French']",Nightmare Alley,An ambitious carny with a talent for manipulating people meets a female psychiatrist who is even more dangerous than he is.,80.0,https://m.media-amazon.com/images/M/MV5BOTI4NDhhNGEtZjQxZC00ZTRmLThmZTctOGJmY2ZlOTc0ZGY0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,2021,1639679400,17 Dec 2021,"$11,338,107",150 min,A grifter working his way up from low-ranking carnival worker to lauded psychic medium matches wits with a psychologist bent on exposing him.,Nightmare Alley,7.0,"168,164"
80,81,40218400,"['Drama', 'Music']","['American Sign ', 'English']",CODA,"As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby must choose between pursuing her love of music and her obligations to her family.",94.0,https://m.media-amazon.com/images/M/MV5BYzkyNzNiMDItMGU1Yy00NmEyLWE4N2ItMjkzMDZmMmVhNDU4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,2021,1628793000,13 Aug 2021,$ 0,111 min,"As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear o...",CODA,8.0,"168,787"
81,82,40218400,"['Biography', 'Drama']",['English'],Belfast,A young boy and his working-class Belfast family experience the tumultuous late 1960s.,86.0,https://m.media-amazon.com/images/M/MV5BOGU1MmMyNTMtMGE3Ni00N2E0LWFlYjEtMDIwNDk5NzUyODAzXkEyXkFqcGc@._V1_SX300.jpg,2021,1636655400,12 Nov 2021,"$9,250,870",98 min,A young boy and his working-class Belfast family experience the tumultuous late 1960s.,Belfast,7.2,"94,844"
82,83,40218400,['Drama'],"['English', 'Italian', 'Greek']",The Lost Daughter,A woman's quiet seaside vacation takes an unsettling turn when her fixation on a young mother staying at a nearby villa awakens memories from her past.,94.0,https://m.media-amazon.com/images/M/MV5BZGY5ZTg1YzUtNTUwMy00YTVjLTg5OTItMTc4MmNmYjkxOTE1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,2021,1640889000,31 Dec 2021,$ 0,121 min,A woman's beach vacation takes a dark turn when she begins to confront the troubles of her past.,The Lost Daughter,6.7,"76,199"
83,84,40218400,"['Biography', 'Crime', 'Drama']","['English', 'Italian', 'Arabic', 'Spanish', 'Japanese', 'French']",House of Gucci,"When Patrizia Reggiani, an outsider from humble beginnings, marries into the Gucci family, her ambition begins to unravel the family's legacy and triggers a spiral of betrayal, decadence, and murder.",62.0,https://m.media-amazon.com/images/M/MV5BMmQ3OTRiYWItMGRiOC00ZTVmLWJjMjEtNjZhNDQ5NjIxODNjXkEyXkFqcGc@._V1_SX300.jpg,2021,1637692200,24 Nov 2021,"$53,809,574",158 min,"When Patrizia Reggiani, an outsider from humble beginnings, marries into the Gucci family, her unbridled ambition begins to unravel their legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimately...murder.",House of Gucci,6.6,"162,632"
84,85,40218400,"['Biography', 'Drama', 'Musical']",['English'],"tick, tick... BOOM!","On the cusp of his 30th birthday, a promising young theater composer navigates love, friendship, and the pressure to create something great before time runs out.",87.0,https://m.media-amazon.com/images/M/MV5BZmMyMmE0M2UtN2E2MC00YzVmLTkwODgtOTVhYjVlOTBhY2RjXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,2021,1637260200,19 Nov 2021,$ 0,115 min,"On the brink of turning 30, a promising theater composer navigates love, friendship and the pressure to create something great before time runs out.","tick, tick... BOOM!",7.5,"121,434"
85,86,40218400,['Drama'],"['Japanese', 'English', 'Korean Sign ', 'German', 'Mandarin', 'Tagalog', 'Korean', 'Indonesian', 'Malay', 'Swiss German']",Drive My Car,"After his wife's unexpected death, a renowned stage actor and director grapples with loss and takes on a new play while slowly finding solace with his chauffeur.",97.0,https://m.media-amazon.com/images/M/MV5BY2NkNDdmZTUtYWQ2MC00MjUyLTk1MGMtNWZiZjI3ZWMzNDYwXkEyXkFqcGdeQXVyNTY4ODAxODI@._V1_SX300.jpg,2021,1629397800,20 Aug 2021,"$2,352,240",179 min,A renowned stage actor and director learns to cope with a big personal loss when he receives an offer to direct a production of Uncle Vanya in Hiroshima.,Drive My Car,7.5,"68,070"
86,87,40218400,"['Crime', 'Horror', 'Thriller']",['English'],Don't Breathe,"Hoping to walk away with a massive fortune, a trio of thieves break into the house of a blind man who isn't as helpless as he seems.",88.0,https://m.media-amazon.com/images/M/MV5BNjAxOTJkMmEtNjg4MC00ODk3LTkwYmUtNjM3YzE5YTk1YTFjXkEyXkFqcGc@._V1_SX300.jpg,2016,1472149800,26 Aug 2016,"$89,217,875",88 min,"Three delinquents break into the house of a war veteran who is blind to steal his money. However, they discover that the man is not as defenseless as he seems.",Don't Breathe,7.1,"306,410"
87,88,40218400,"['Biography', 'Drama']",['English'],A Beautiful Day in the Neighborhood,Based on the true story of a real-life friendship between Fred Rogers and journalist Tom Junod.,0.0,https://m.media-amazon.com/images/M/MV5BZWE3ZDYwNmItOWM5ZS00Y2Q4LTlhNmYtODlhY2QxYzA1MDlhXkEyXkFqcGdeQXVyNjA5MDIyMzU@._V1_SX300.jpg,2019,1574361000,22 Nov 2019,"$61,704,055",109 min,"Lloyd Vogel, a cynical journalist, gets acquainted with a kind-hearted television presenter, Fred Rogers, while writing an article on him. With time, the two strike an unlikely friendship.",A Beautiful Day in the Neighborhood,7.2,"89,804"
88,89,40218400,"['Drama', 'Romance']","['French', 'Italian']",Portrait of a Lady on Fire,"On an isolated island in Brittany at the end of the 18th century, a female painter is obliged to paint a wedding portrait of a young woman.",97.0,https://m.media-amazon.com/images/M/MV5BNjgwNjkwOWYtYmM3My00NzI1LTk5OGItYWY0OTMyZTY4OTg2XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,2019,1581618600,14 Feb 2020,"$3,759,854",122 min,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",Portrait of a Lady on Fire,8.1,"112,961"
90,91,40218400,"['Drama', 'Horror', 'Mystery']","['English', 'Swedish']",Midsommar,"A couple travels to Sweden to visit a rural hometown's fabled mid-summer festival, only to find themselves in the clutches of a sinister cult.",83.0,https://m.media-amazon.com/images/M/MV5BMzQxNzQzOTQwM15BMl5BanBnXkFtZTgwMDQ2NTcwODM@._V1_SX300.jpg,2019,1562092200,03 Jul 2019,"$27,426,361",148 min,A couple travels to Northern Europe to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,Midsommar,7.1,"418,369"
91,92,40218400,"['Drama', 'Fantasy', 'Horror']",['English'],The Lighthouse,Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.,90.0,https://m.media-amazon.com/images/M/MV5BMTI4MjFhMjAtNmQxYi00N2IxLWJjMGEtYWY1YmU3OTQ0Zjk3XkEyXkFqcGc@._V1_SX300.jpg,2019,1572546600,01 Nov 2019,"$10,867,104",109 min,Two lighthouse keepers try to maintain their sanity while living on a remote and mysterious New England island in the 1890s.,The Lighthouse,7.4,"263,319"
94,95,40218400,"['Crime', 'Drama', 'Thriller']","['English', 'Hebrew']",Uncut Gems,"With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hopes of staying afloat and alive.",91.0,https://m.media-amazon.com/images/M/MV5BZDhkMjUyYjItYWVkYi00YTM5LWE4MGEtY2FlMjA3OThlYmZhXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,2019,1577212200,25 Dec 2019,"$50,023,780",135 min,"With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hope of staying afloat and alive.",Uncut Gems,7.4,"323,083"
